Item;Descrição (Item);Subgrupo (Código);item que tem tipo 2;item 1 que esta em ped
1111E;CORD DE SANTANA - CALCA ELAST TOTAL - UNIFORTE 1015 VERDE - CONF;100;s;#N/D
1116ZZ;CAMISETA GOLA REDONDA MC LUBRAX MAIS - OK;600;s;#N/D
1117ZZ;PETROBRAS - JALECO MC LUBRAX MAIS - CONF;300;s;#N/D
1122F;FRAS LE - CALCA ELAST T C CORDAO ESPEC - UNIFORTE 1003 AZ - C0NF;107;s;#N/D
1128J;REALIZ - CALCA ELAST TOTAL - SARJA LIDER 250GR 8260 CINZA - CONF1;107;s;#N/D
1133ZZ;PETROBRAS - JALECO RODOVIARIO MC - UNILEVE 1009 CINZA - CONF;300;s;#N/D
1136G;POSTO ALPA -  CALCA MEIO ELAST FEM- UNILESTER SOFT 2016 PTO - CONF1;101;s;#N/D
1136I;COMB HUBERT -  BERM MEIO ELAST - UNILESTER SOFT 2016 PRETO - CONF1;111;s;#N/D
1143K;COAMO - CALCA RETARD ELAST - MED ESP - CEDROTECH FR 5098 AZ RY- CONF1;109;s;#N/D
1161K;WEG - CALCA ELAST TOTAL - CEDROTECH FR 8047 CZ - CONF1;109;s;#N/D
1165F;CENCI - CALCA MEIO ELAST MOTORISTA  - UNIFORTE 1009 CINZA - CONF;101;s;#N/D
1165K;NB - CALCA RETAR METAL LIQUIDO MEIO ELAST - UNIPOWER 1018 MARI - CONF1;150;s;#N/D
1168C;POSTO DO GALO - CALCA - UNIFORTE 1009 - CONF;107;s;#N/D
1181G;MINUANO ALIM - CALCA RETARD MEIO ELAST - UNIFORTE FR 1014 AZ RY - CONF;109;s;#N/D
1183I;ADAMI - CALCA MEIO ELAST RETARD - UNIFORTE FR 1008 AZ - CONF01;108;s;#N/D
1186J;FUNDIMISA - CALCA ELAST TOTAL METAL LIQ - MERCURIO 5228 MARINH - CONF1;150;s;#N/D
1196J;EC PROJ - CALCA MEIO ELAST RETAR CHAM UNISAFE SLIM 1009 CZ - CONF1;108;s;#N/D
1202H;KEPLER - CALCA  JEANS MASC - JEANS IGOR 100% 10 OZ - CONF1;104;s;#N/D
1203I;MINAS BR - CALCA SOCIAL FEM - UNILESTER PLUS 2050 CZ - CONF1;106;s;#N/D
1206J;POSTO RADAR - CALCA ELAST TOTAL - POLYCEDROBRIM 5136 AZUL - CONF1;100;s;#N/D
1210F;BERTOLINI - CALCA  RETARD CHAMAS MEIO ELAST - UNIFORTE FR 1009  - CONF;109;s;#N/D
1249H;RUDINICK - CALCA ELAST TOTAL - UNITEX 5018 AZUL MARINHO - CONF1;101;s;#N/D
1261G;MASCARELLO - CALCA ELAST TOTAL -  UNIVERSAL 1414 AZ RY - CONF1AA;100;s;#N/D
1298F;SANEP - CALCA E/TOTAL C CORDAO - SARJA LIDER 250 GM 5280 AZ RY - CONF1;107;s;#N/D
1302J;PETROBRAS - CALCA PISTA/GER/FRENT GESTANTE - UNILESTER 2050 CZ - CONF1;101;s;#N/D
1307E;MEGA WATTS - CALCA MEIO ELAST RETARD CHAMAS - CEDROTECH 5228 AZ - CONF;109;s;#N/D
1307I;RAROZ - CALCA MEIO ELAST RETARD - CEDROTECH 8047 CINZA - CONF1;109;s;#N/D
1343G;SPONCHIADO - CALCA MEIO ELAST - UNILESTER POLI 2002 CINZA - CONF1;101;s;#N/D
1351K;PLASZOM - CALCA ELAST TOTAL - MALHA COLEGIAL FIACAO 03 AZ RY - CONF1;107;s;#N/D
1353H;YARA - CALCA ELAST TOTAL RETAR - UNIFORTE FR TRAT 1018  - CONF;108;s;#N/D
1361D;SERRANA - CALCA MEIO ELAST - UNIFORTE 1006 - CONF;101;s;#N/D
1374I;NELSON - CALCA RETARD MEIO ELAST - UNIFORTE FR 1014 AZ RY - CONF1;109;s;#N/D
1377G;MUN FRAIBURGO - CALCA ELAST T C CORDAO - SARJA 250GR 5280 AZ RY -CONF1;107;s;#N/D
1385G;AGRA - CALCA ELASTICO TOTAL RETARD - CEDROTECH FR 5098 AZ RY - CONF1;109;s;#N/D
1389I;SETA - CALCA ELAST TOTAL - CEDROLEVE SUPER 8053 VERDE - CONF1;107;s;#N/D
1390I;POSTO ORIGEM - CALCA MEIO ELAST - UNITECH 5016 PRETO - CONF1;101;s;#N/D
1393K;RANDON - CALCA ELAST TOTAL - MED ESP - UNIFORTE 1003 AZ CEL- CONF1;107;s;#N/D
1397K;JAIC AUTO POSTO - CALCA ELAST TOT - SARJA 250GR 5280 AZ RY - CONF1;107;s;#N/D
1400B;CEEE - CALCA COS MEIO ELAS - UNIFORTE 1009 CINZA - CONF;101;s;#N/D
1402I;BIOGENESE - CALCA MEIO ELAST -  UNIFORTE 1009 CZA - CONF1;101;s;#N/D
