Item;Descrição (Item);Subgrupo (Código);item que tem tipo 2;item 1 que esta em ped
2999L;MS - CAMISA ATEN BR MANIA MASC MC - UNICOMFORT 6225 VD - CONF1;203;s;#N/D
3002I;BENECKE - JALECO MC - UNILEVE 1043 VERDE - CONF1;300;s;#N/D
3048G;CISLAGHI - GUARDA PO 3-4 ML - UNIFORTE 1009 CZ - CONF;301;s;#N/D
3054I;ERBS - JALECO MC - UNILESTER PLUS 2050 CINZA - CONF1;300;s;#N/D
3056G;POSTO KID DOLAR - JALECO MC - POLYCEDROLEVE SUPER 8047 CINZA - CONF;300;s;#N/D
3073H;JORNADA - JALECO ML - SARJA LIDER 8260 CINZA - CONF1;300;s;#N/D
3078I;RECH - GPO 3-4 ML - SARJA 202GR 5280 AZ RY - CONF1;301;s;#N/D
3092J;EATON - GUARDA PO 3-4 ML - UNIFIT 5008 AZ MARINHO - CONF1;301;s;#N/D
3129J;EATON - GUARDA PO 3-4 MC - UNIFIT 5008 AZ MARINHO - CONF1;301;s;#N/D
3143I;TROY FERRAMENTAS - JALECO GOLA V - CEDROFIL 5414 AZ RY - CONF1;920;s;#N/D
3189J;GOMASUL - JALECO ML - OXFORD PRETO - CONF1;300;s;#N/D
3213J;BENTO SUL - JALECO ML - SARJA 250GR 5280 AZ RY - CONF1;300;s;#N/D
3240D;LABORATORIO RANDON - JALECO ML - CEDROFIL 002 BRANCO - CONF;300;s;#N/D
3240J;RANDON - JALECO ML - MED ESP - UNILEVE 1003 AZUL - CONF1;300;s;#N/D
3241I;POSTO RIO DAS OSTRAS- JALECO MC - UNITECH 5008 MARINHO - CONF1;300;s;#N/D
3245H;IRMAOS AMALCABURIO - GUARDA PO 3-4 MC - SARJA 250GR 5280 AZ RY - CONF1;300;s;#N/D
3246H;IRMAOS AMALCABURIO - GUARDA PO MC 3-4 - TERGAL 12 AZ CELESTE - CONF1;301;s;#N/D
3264D;DITAL - GUARDA PO 3-4 MC - UNILEVE 1002 - CONF;301;s;#N/D
3281H;RVB MALHAS - JALECO MC - CEDROFIL 0002 BRANCO - CONF1;300;s;#N/D
3282H;RVB MALHAS - JALECO ML - CEDROFIL 0002  BRANCO - CONF1;300;s;#N/D
3289H;MUNDIAL - GUARDA PO 7-8 ML FEM - UNITEL 2001 BRANCO - CONF1;302;s;#N/D
3296I;FUTURE - GUARDA PO 3-4 ML - UNICOMFORT FLEX 6110 BEGE  - CONF1;301;s;#N/D
3322C;INFRAVER - JALECO ML - UNILEVE 1018 MARINHO - CONF;300;s;#N/D
3323C;INFRAVER - JALECO MC - UNILEVE 1018 AZ MARINHO - CONF;300;s;#N/D
3334H;AMALCABURIO - JALECO MC - UNILEVE 1243 VERDE - CONF1;300;s;#N/D
3340H;CERAMIX - JALECO ML LABORATORIO - DOPTEL 001-9118 STORM - CONF1;300;s;#N/D
3368G;POSTO GRACIOSA - JALECO MC - UNILESTER 2050 CINZA - CONF;300;s;#N/D
3373F;COMB BP - JALECO ML - UNIFORTE 1009 CINZA - CONF;300;s;#N/D
3429J;ALIBEM - GUARDA PO 7-8 ML - OXFORD MT BRANCO - CONF 1;302;s;#N/D
3444H;VIEMAR - JALECO ML - UNILEVE 1009  CINZA - CONF1;300;s;#N/D
3446G;SAN MARINO -  JALECO MC - UNISOFT  1243 VERDE - CONF;300;s;#N/D
3496J;FRAS LE - JALECO MC - MED ESP - UNILEVE 1003 AZUL - CONF1;602;s;#N/D
3500ZZ;CALCA FRENTISTA MASCULINO;103;s;#N/D
3501ZZ;CALCA FRENTISTA FEMININO;106;s;#N/D
3502ZZ;BERMUDA FRENTISTA MASC;113;s;#N/D
3506ZZ;CAMISA FRENTISTA MASC M/L;203;s;#N/D
3508ZZ;JAQUETA FRENTISTA COM FIBRA;500;s;#N/D
3509ZZ;JAQUETA FRENTISTA SEM FIBRA;500;s;#N/D
3510ZZ;MOLETOM FRENTISTA FEMININO;914;s;#N/D
3517ZZ;AVENTAL FRENTISTA;915;s;#N/D
3518A;DALL A COSTA - GUARDA PO 3-4 MC - CEDROPAC 7158 CAQUI -  CONF1;301;s;#N/D
3518H;CHARRUA - GUARDA PO 3-4 ML - UNILEVE 1001 BRANCO - CONF1;301;s;#N/D
3518ZZ;CAMISA LOJA DE CONVENIENCIA MASC M/C;203;s;#N/D
3522ZZ;CAMISA LUBRIFICADOR MASC M/C;203;s;#N/D
3527ZZ;JAQUETA LOJA DE CONVENIENCIA;500;s;#N/D
3529ZZ;CAMISA GERENTE MASC M/C;203;s;#N/D
3531ZZ;CAMISETE PADARIA FEM M/C;204;s;#N/D
3535ZZ;CAMISETE GERENTE FEM M/C;204;s;#N/D
3537ZZ;CALCA PADARIA MASC;103;s;#N/D
3538ZZ;CAMISA GERENTE MASC M/L;203;s;#N/D
3539ZZ;CAMISETE GERENTE FEM M/L;204;s;#N/D
3540ZZ;CAMISA FRENTISTA MASC M/C;203;s;#N/D
3541ZZ;PADARIA AM PM - TOUCA DE ABRIGO - BRANCO - CONF;1;s;#N/D
3542ZZ;IPIRANGA JET OIL - CAMISA OPER MC - FUSTAO 1256 AZ MARI - CONF1;203;s;#N/D
3543ZZ;IPIRANGA - AVENTAL CM - UNILIGHT 5070 AZ MARINHO - CONF;915;s;#N/D
3573G;TECLAB - GUARDA PO 7-8 ML- OXFORD VERDE AGUA - CONF1;302;s;#N/D
3577G;CAAL - JALECO ML - UNIQUALITY 1007 VERDE - CONF;300;s;#N/D
3578J;RIO GRANDE - JALECO ML - SARJA 202GR 8260 CINZA - CONF1;209;s;#N/D
3583J;TELASUL- JALECO ML - UNISOFT 1006 VERDE - CONF1;300;s;#N/D
3602J;LIKO - GUARDA PO ML 3-4 - SARJA 202GR 5280 AZ RY - CONF1;301;s;#N/D
3672J;AUTOTROVI - JALECO ML - SARJA 250GR 5280 AZ RY - CONF1;300;s;#N/D
3673A;CORFIX - JALECO MC - UNISOFT 1002 - CONF1;300;s;#N/D
3674G;G3 INDUSTRIA - GUARDA PO 3/4 ML - UNISOFT 1001 BRANCO - CONF1;301;s;#N/D
3692J;ALFIX - JALECO ML - SARJA 202GR 8260 CINZA - CONF1;300;s;#N/D
3704J;SNOWLAND - JALECO MC - DOPTEL 1223 AZUL - CONF1;300;s;#N/D
3706J;SNOWLAND - JALECO FEM MC - DOPTEL 1223 AZUL - CONF1;300;s;#N/D
3738J;IMPLEMENTOS - JALECO ML - MED ESP - UNILEVE 1003 AZUL - CONF1;300;s;#N/D
3750J;XALINGO - JALECO ML - SARJA 202GR 5280 AZ RY - CONF1;300;s;#N/D
3751J;XALINGO - JALECO MC - SARJA 202GR 5280 AZ RY - CONF1;300;s;#N/D
3756J;DASS - GUARDA PO 7-8 ML - UNILESTER 2001 BRANCO - CONF1;302;s;#N/D
3759J;EATON - GUARDA PO 3-4 MC - UNISOFT 1244 MARINHO - CONF1;301;s;#N/D
3760J;EATON - GUARDA PO 3-4 MC - UNISOFT 1244 MARINHO - CONF1;301;s;#N/D
3761J;MARCOPOLO - JALECO ML - MED ESP - UNISOFT 1414 AZ RY - CONF1;300;s;#N/D
3765J;GECELE - JALECO ML - UNISOFT 1233 VERMELHO - CONF1;300;s;#N/D
3774J;GAVI - JALECO MC - SARJA 202GR 5280 AZ RY - CONF1;300;s;#N/D
3784J;CHRIS CINTOS - GPO 3-4 MC - UNIQUALITY 1014 AZ RY - CONF1;301;s;#N/D
3786J;CHRIS CINTOS - GPO 3-4 MC - UNIQUALITY 1014 AZ RY - CONF1;301;s;#N/D
3787J;CHRIS CINTOS - GPO 3-4 MC - CEROLEVE DRILL 5098 AZ RY - CONF1;301;s;#N/D
3789J;CHRIS CINTOS - GPO 3-4 MC - UNIQUALITY 001 BRANCO - CONF1;301;s;#N/D
3791J;CHRIS CINTOS - GPO 3-4 MC - UNIQUALITY 1014 AZ RY - CONF1;301;s;#N/D
3793J;FRAS-LE - JALECO ML - MED ESP - UNILEVE 1003  AZ CELESTE - CONF1;300;s;#N/D
3806J;PAROQUIA - JALECO ML - OXFORD BRANCO - CONF1;300;s;#N/D
3840G;CAMMINO - JALECO ML - UNILEVE 1009 CINZA - CONF;300;s;#N/D
3848J;BIANCHINI - JALECO MC 3-4 - UNIFORTE 1233 VERMELHO - CONF1;300;s;#N/D
3858J;GUERRA - JALECO ML - SARJA 250GR 5280 AZ RY- CONF1;300;s;#N/D
3872J;BIANCHINI - JALECO MC - UNIFORTE 1006 VERDE - CONF1;300;s;#N/D
3889D;AGRALE - JALECO MC - SEGURANCA  - UNIQUALITY 1015 VD  - CONF1;300;s;#N/D
3890J;FUND STA TEREZINHA - JALECO ML - CEDROLEVE SUPER 8053 CHUMBO - CONF1;300;s;#N/D
3892J;VENDRAMIN - JALECO ML - UNITECH 5009 CINZA - CONF1;300;s;#N/D
3893J;PEDRO LESSA - JALECO MC - CEDROLEVE SUPER 1052 VERMELHO - CONF1;300;s;#N/D
3900B;REFL UNIDOS - JALECO ML - UNIFORTE 1003 AZ CELESTE - CONF;300;s;#N/D
3915H;IMPLEMENTOS - JALECO ML - MED ESP - UNILEVE 1003 AZ CEL - CONF1;300;s;#N/D
3924H;IRMAOS AMALCABURIO - JALECO ML - SARJA 250GR 8260 CINZA - CONF1;300;s;#N/D
3946H;ALIBEM - GPO 3-4 ML - CITBRIM 0022 BRANCO - CONF1;301;s;#N/D
3947H;ALIBEM - GUARDA PO 3-4  MC - CITBRIM 0022 BRANCO - CONF1;300;s;#N/D
3971I;RANDON - JALECO ML - MED ESP - UNILEVE 1003 AZUL - CONF1;300;s;#N/D
3975H;CERAMIX - JALECO ML MANUTENCAO - UNILIGHT 5009 CZA - CONF1;300;s;#N/D
3990F;ACOLAR - GUARDA PO 7-8 ML - CEDROBRIM SUPER 7157 MARROM - CONF1;302;s;#N/D
4100ZZ;CHARRUA - CALCA MEIO ELAST GERENTE MASC - CONF;101;s;#N/D
4110ZZ;CHARRUA - MOLETON GOLA REDONDA - CAIXA - CONF;914;s;#N/D
4111B;CENCI E CIA COD 9200 - MACACAO ML - SARJA 250GR 5280  AZ RY - CONF1AA;400;s;#N/D
4111ZZ;CHARRUA - MOLETOM GOLA REDONDA FRENTISTA - CONF;914;s;#N/D
4127B;COMB BP - MACACAO ML - UNIFORTE 1009 - CONF;400;s;#N/D
4200ZZ;CHARRUA - CALCA MEIO ELAST- UNILESTER SOFT 2050 CZ - CONF1;101;s;#N/D
4208ZZ;CHARRUA -  CAMISETA GOLA POLO MC - PIQUET PA 7036 VD - CONF1;602;s;#N/D
4212ZZ;CHARRUA - JAQUETA - UNILESTER SOFT 2015 VERDE - CONF1;500;s;#N/D
4214ZZ;CHARRUA - CAMISETE OPER FEM  MC - UNIOFFICE 3002 CINZA - CONF1;204;s;#N/D
4218A;MADEM - MACACAO ML - UNIFORTE 1009 CINZA - CONF;400;s;#N/D
4252B;FRAS-LE - MACACAO ML - UNILEVE 1009 CINZA - CONFAA;400;s;#N/D
4260B;SILVESTRIN - MACACAO ML - UNIPACIFIC 1015 VERDE - CONF1;400;s;#N/D
4300ZZ;CHARRUA - CALCA MEIO ELAST - UNILESTER SOFT 2050 CINZA - CONF1;101;s;#N/D
4301ZZ;CHARRUA - CALCA MEIO ELAST FEM - UNILESTER SOFT 2050 CZ - CONF1;101;s;#N/D
4303ZZ;CHARRUA - BERMUDA MEIO ELAST - UNILESTER SOFT 2050 CINZA - CONF1;111;s;#N/D
4307ZZ;CHARRUA - JAQUETA - NYLON PARAQUEDA 012  VERMELHO - CONF1;500;s;#N/D
4308ZZ;CHARRUA -  CAMISETA GOLA POLO MC - PIQUET PA 178 VERMELHO - CONF1;602;s;#N/D
4310ZZ;CHARRUA - MOLETOM - FLANELADO  078 VERMELHO - CONF1;914;s;#N/D
4313ZZ;CHARRUA - BONE MOD 6 GOMOS - ACIMA DE 100PCS - REG. VELCRO- CONF1;910;s;#N/D
4314ZZ;CHARRUA - CAMISETE OPER FEM  MC - UNIOFFICE 3002 CINZA - CONF1;204;s;#N/D
4315ZZ;CHARRUA - CAMISA OPER  MASC MC - UNIOFFICE 3002 CINZA - CONF1;203;s;#N/D
4372B;MEC UNIDIEL -  MACACAO ML - UNIFORTE 1014 AZ RY - CONF1;400;s;#N/D
4435B;ELETRO JS - MACACAO ML - UNIFORTE 1014 AZ RY - CONF;400;s;#N/D
4483B;COOPATRIGO - MACACAO ML - SARJA 250GR 8260 CINZA - CONF1;400;s;#N/D
4487B;PHILIP MORRIS - MACACAO ML COM CAPUZ - UNIFORTE 1009 CINZA - CONF1;400;s;#N/D
4492B;MEC THIAGUINHO - MACACAO ML - UNILEVE 1018 AZ MARINHO - CONF1;400;s;#N/D
4548B;YARA - MACACAO ML - UNITECH 5024 LARAN - CONF1;400;s;#N/D
4776B;ALIANCA - MACACAO ML - MED ESP - UNIFORTE 1002 CZA - CONF1;400;s;#N/D
4777B;EXECUTAR ALPINISMO - MACACAO RETARDML - CEDROTECH 2063 LAR- CONF1;409;s;#N/D
4785B;NB - MACACAO ML - UNILESTER RIP STOP 2050 CINZA - CONF1;400;s;#N/D
4793B;CENCI - MACACAO ML - RETARD CHAMAS - CEDROTECH 5228 AZ MAR - CONF1;409;s;#N/D
4803B;NB - MACACAO MC - UNILESTER RIP STOP 2050 CINZA - CONF1;400;s;#N/D
4824B;DORF -  MACACAO ML - UNIFORTE 1018 MARINHO - CONF1;400;s;#N/D
4828B;CHARRUA  - MACACAO ML - UNIFORTE 1009 CINZA - CONF1;400;s;#N/D
4853B;MARCHER -  MACACAO MC - UNIFORTE 1009 CINZA - CONF1;400;s;#N/D
4868B;HUISMAN - MACACAO ML RETARD CH - CEDROTECH FR 2063 LAR - CONF1;400;s;#N/D
4877B;SMARTCOAT  - MACACAO ML RETARD CH - UNIFORTE FR 1232 LARANJA - CONF1;400;s;#N/D
4885B;GON PETRO - MACACAO ML RETARD CH - CEDROTECH FR 8047 CZ - CONF1;409;s;#N/D
4894B;AKER SOLUTION  MACACAO ML RETARD CH - UNIFORTE FR 1232 LARANJA - CONF1;409;s;#N/D
4895B;FRUTINI -  MACACAO ML - SARJA 250GR 5280 AZ RY - CONF1;400;s;#N/D
4905B;HUISMAN - MACACAO ML RETARD - MED ESP - UNIFORTE FR 1232 LAR - CONF1;400;s;#N/D
4909B;ENGEVALE - MACACAO ML RETARD - CEDROTECH FR 5228 MARINHO - CONF1A;409;s;#N/D
4911B;SEDMETAL - MACACAO ML RETARD CH - CEDROTECH FR 5228 MARINHO - CONF1;409;s;#N/D
4945B;CENTER CORAL -  MACACAO MC - UNILEVE 1414 AZ RY - CONF1;400;s;#N/D
4946B;CENTER CORAL -  MACACAO MC - UNILEVE 1001 BRANCO - CONF1;400;s;#N/D
4947B;REDE HG -  MACACAO MC - UNILIGHT 5014 AZ RY - CONF1;400;s;#N/D
4948B;RUDDER - MACACAO RETARD CHAMAS - CEDROTECH FR 5098 AZ RY - CONF1;408;s;#N/D
4953B;REDE HG -  MACACAO ML - UNILIGHT 5014 AZ RY - CONF1;400;s;#N/D
4954B;ESTRUTURAL - MACACAO ML RF RETARD - CEDROTECH FR 2063 LARANJA - CONF1;409;s;#N/D
4955B;TRANSPETRO - MACACAO ML - UNIVERSAL 1232 LARANJA - CONF1;400;s;#N/D
4956B;TRANSPETRO - MACACAO RETARD ML - UNIFORTE FR 1232 LARANJA - CONF1;409;s;#N/D
4957B;TRANSPETRO - MACACAO RETARD ML - CEDROTECH FR 2063 LARANJA - CONF1;409;s;#N/D
5000F;MADAL - PARKA - NYLON PARAQUEDAS 17 PRETO - CONF1;501;s;#N/D
5010F;POSTO DOS CAVALEIROS - JAQUETA - POLYCOTTON MAIS 0001 PTO - CONF1;500;s;#N/D
5014D;POSTO STA TERESINHA - JAQUETA - NYLON PARAQ 12 VERM - CONF;500;s;#N/D
5017E;SANEP - JAQUETA - UNIFORTE PRO FR CA 40569 - UNIFORTE 1009 - CONF1;509;s;#N/D
5022B;MEDABIL - JAQUETA - UNIVERSAL 1014 AZ RY - CONF1;500;s;#N/D
5028E;HAFELE - JAQUETA FEMININA  - NYLON PARAQ 17 PRETO - CONF1;500;s;#N/D
5042E;ALIBEM - JAQUETA RETARD A CHAMAS - UNISAFE SLIM FR 1014 AZ - CONF1;509;s;#N/D
5046E;ERACI - JAQUETA UNISSEX - NYLON PARAQ 12 VERMELHO - CONF1;500;s;#N/D
5048E;POSTO SAO PELEGRINO - JAQUETA - UNIFORTE 1008 AZ MARIN - CONF1;500;s;#N/D
5056E;HOERLLE E ASSUMPCAO - PARKA - NYLON PARAQUEDAS 031 CZA- CONF1;501;s;#N/D
5059E;HOERLLE E ASSUMPCAO - PARKA - NYLON PARAQUEDAS 017 PTO- CONF1;501;s;#N/D
5061D;LSL TRANS -  JAQUETA - POLLYCONTTONCEDRO MAIS 5228 MARIN  - CONF1A;500;s;#N/D
5091D;POSTO SERRA GAUCHA - JAQUETA - UNILESTER 2018 AZ MAR - CONF;500;s;#N/D
5107E;DORF KETAL - JAQUETA - UNIFORTE 1018 MARINHO - CONF1;500;s;#N/D
5109D;JTI - JAQUETA ANTICHAMAS - UNIFORTE FR 1009 CINZA - CONF;509;s;#N/D
5113E;AUTO POSTO EMF - JAQUETA PARKA - NYLON PARAQUEDAS 016 AZ - CONF1;501;s;#N/D
5118E;RAROZ -  JAQUETA - NYLON PARAQ 22 CHUMBO - CONF1;500;s;#N/D
5128C;CENCI E CIA - JAQUETA - NYLON PARAQ 31 CINZA - CONF1;500;s;#N/D
5142D;COOPERLUZ -  JAQUETA - NYLON CAPA IMPER PRETO - CONF;500;s;#N/D
5148D;SAT COM COMB - JAQUETA - NYLON PARAQ 27 AZ RY - CONF1;500;s;#N/D
5150E;DANFOSS - JAQUETA MASC - NYLON PARAQ 31 CZ - CONF1;500;s;#N/D
5156E;CENCI - JAQUETA MASC - NYLON 100  COSTURA 5 X 5 16 PRETA - CONF1;501;s;#N/D
5157E;CENCI - JAQUETA FEM - NYLON 100  COSTURA 5 X 5 16 PRETA - CONF1;501;s;#N/D
5160E;ERACI - JAQUETA UNISSEX - NYLON PARAQ 17 PRETO - CONF1;500;s;#N/D
5162E;ALIBEM - JAQUETA RETARD A CHAMA - UNISAFE SLIM FR 1014 AZ - CONF1;509;s;#N/D
5175D;POSTO RS 240 -  JAQUETA - NYLON PARAQUEDAS 16 AZ MARI - CONF;500;s;#N/D
5185E;MARQUETTO - JAQUETA - UNITECH 5009 CINZA - CONF1;500;s;#N/D
5193C;SENA MADEIRAS - JAQUETA - NYLON CHINES CINZA - CONF;500;s;#N/D
5204D;POSTO STA TERESINHA - JAQUETA - NYLON PARAQ 17 PRETO - CONF1;500;s;#N/D
5217D;POSTO CARESTIATO - JAQUETA - NYLON PARAQ 12 VERM - CONF1;500;s;#N/D
5229E;STAHL - JAQUETA RET A CHAM - UNISAFE SLIM  1018 MARINHO - CONF1;509;s;#N/D
5237C;COOP DE DIST DE ENERGIA - JAQUETA - SARJA 250GR 8260 CINZA - CONF1AA;500;s;#N/D
5245D;INAB - JAQUETA MASC - NYLON PARAQUEDAS 17 PRETO - CONF 1;501;s;#N/D
5254D;MANUCHAR -  JAQUETA - NYLON PARAQUEDA 24 LARANJA - CONF1;500;s;#N/D
5255D;MANUCHAR -  JAQUETA - NYLON PARAQUEDA 11 AZUL ROYAL - CONF1;500;s;#N/D
5257D;MANUCHAR -  JAQUETA - NYLON PARAQUEDA 23 VERDE - CONF1;500;s;#N/D
5258D;MANUCHAR -  JAQUETA - NYLON PARAQUEDA 57 PRATA - CONF1;500;s;#N/D
5259D;MANUCHAR -  JAQUETA - NYLON PARAQUEDA 12 VERM - CONF1;500;s;#N/D
5275E;POSPTO MAIOCHI - JAQUETA UNISSEX - NYLON PARAQ 12 VERMELHO - CONF1;500;s;#N/D
5282E;BIANCHINI - JAQUETA - SARJA LIDER 250GR 8260 CINZA - CONF1;500;s;#N/D
5311E;MARVI - PARKA - NYLON PARAQ 027 AZ RY - CONF1;501;s;#N/D
5325D;POSTO VIADUTO  - JAQUETA - NYLON PARAQ 33 PETROLEO - CONF1;500;s;#N/D
5331D;METISA -  JAQUETA - UNIQUALITY 1014 AZUL ROYAL - CONF1 - A;500;s;#N/D
5332D;METISA -  JAQUETA - UNIQUALITY 1015 VERDE - CONF1 - A;500;s;#N/D
5349D;POSTO PINHEIRO -  JAQUETA - UNILESTER PLUS 2050 CINZA - CONF1;500;s;#N/D
5352E;PHILIP MORRIS JAQUETA MASC - NYLON 100  COSTURA 5 X 5 16 PRETA - CONF1;500;s;#N/D
5364D;POSTO 4 ILHAS - JAQUETA - NYLON PARAQUEDAS 17 PRETO - CONF1;500;s;#N/D
5365D;TIMAC - JAQUETA RETARDANTE A CHAMAS - UNIFORTE FR 1018 AZ MAR - CONF1;500;s;#N/D
5395C;TRENSURB - PARKA FEMININA - NYLON PARAQUEDAS RESINADO I PRETO - CONF1;501;s;#N/D
5396C;TRENSURB - PARKA MASC - NYLON PARAQUEDAS RESINADO I PRETO - CONF1;501;s;#N/D
5427E;POSTO APOLO - JAQUETA - NYLON PARAQ 17 PRETO - CONF1;500;s;#N/D
5432E;CINADIS -  JAQUETA - AUSTRALIA REPEL 009-21 PRETO - CONF1;500;s;#N/D
5433D;TECON - JAQUETA RETARD CH - UNIFORTE FR 1018 AZUL MARINHO - CONF1;509;s;#N/D
5445B;DENAT -  JAQUETA - NYLON PARAQUEDAS 27 AZUL ROYAL - CONF1;500;s;#N/D
5446E;3 TENTOS -  JAQUETA GOLA ESP -  CEDROPAC II 5228 AZ MARINHO - CONF1;500;s;#N/D
5461E;POSTO SAO JOAO - PARKA MASC -  POLYCEDROBRIM SUPER 4360 VD - CONF1;501;s;#N/D
5472E;SULCLIMAC- PARKA - NYLON PARAQ 16 MARINHO - CONF1;501;s;#N/D
5474E;REFRIMATE - PARKA - UNITECH 5018 MARINHO - CONF1;501;s;#N/D
5485B;TRENSURB - PARKA MASC - NYLON PARAQ RESINADO I AZ MAR - CONF1;501;s;#N/D
5489B;TRENSURB - PARKA FEMININA - NYLON PARAQUEDAS RESINADO I AZ MAR - CONF1;501;s;#N/D
5490E;AKERSOLUTIONS -  JAQUETA - POLICEDROBRIM SUPER 1052 VERMELHO  - CONF1;500;s;#N/D
5499D;LORRATEA - JAQUETA - UNITEX 5018 AZ / 5009 CZA - CONF1;500;s;#N/D
5501ZZ;ALE - CALCA PISTA MASCULINA - PLYCOTTON LEVE  5229 MARINHO - CONF;101;s;#N/D
5502ZZ;ALE - CAMISA FRENTISTA MASC - CEDROFIL 5228 MARINHO - CONF;201;s;#N/D
5503ZZ;ALE - JAQUETA - UNILESTER 2046 -  CONF;500;s;#N/D
5504ZZ;ALE - CAMISA FRENTISTA FEM - CEDROFIL 5302 AZ CELESTE - CONF;201;s;#N/D
5505ZZ;ALE - CALCA PISTA FEMININA - POLYCOTTON LEVE 5229 MARINHO - CONF1;105;s;#N/D
5506ZZ;ALE - BERMUDA MEIO ELAST - POLYCOTTON LEVE 5229 MARINHO - CONF;111;s;#N/D
5511E;NB - JAQUETA REVERSIVEL - NYLON PARAQ 17 PRETO - CONF1;500;s;#N/D
5512E;NB - JAQUETA REVERSIVEL - NYLON PARAQ 17 PRETO - CONF1;500;s;#N/D
5518E;POSTO APOLO - JAQUETA - NYLON PARAQ 12 VERMELHO - CONF1;500;s;#N/D
5524E;NB - JAQUETA REVERSIVEL - NYLON PARAQ 17 PRETO - CONF1AA;500;s;#N/D
5525E;NB - JAQUETA - DOPTEL 001-21 PRETO PRETO - CONF1;500;s;#N/D
5526E;BIANCHINI - JAQUETA RETARD - UNIFORTE PRO FR 1014 AZ RY - CONF1;509;s;#N/D
5531D;CAAL - JAQUETA UNISSEX - NYLON PARAQUEDAS 11 AZ - CONF1;500;s;#N/D
5536E;PACKEM - PARKA -  AUSTRALIA REPEL A AGUA 009-21 PTO - CONF1;501;s;#N/D
5540B;BALTT - JAQUETA - NYLON PARAQ 31 CINZA - CONF1;500;s;#N/D
5541E;MS - JAQUETA UNISSEX - NYLON PARAQ 12 VERMELHO - CONF1;500;s;#N/D
5542E;AES URUGUAIANA - JAQUETA RETARD - UNIFORTE FR 1009 CZ - CONF1AA;509;s;#N/D
5544C;SAO CIRO -  JAQUETA - DOPTEL 001-21 PRETO - CONF;500;s;#N/D
5557E;CORTEVA -  JAQUETA - UNIFORTE 1014 AZ RY - CONF1;500;s;#N/D
5562B;POSTO GALO - JAQUETA - UNILESTER 2018 AZ MARINHO - CONF;500;s;#N/D
5564E;3 TENTOS -  JAQUETA GOLA ESP -  UNIFORTE 1018 AZ MARINHO - CONF1;500;s;#N/D
5565E;MUNDIAL - PARKA - NYLON CAPA PRETO - CONF1;501;s;#N/D
5566E;NB - JAQUETA -  DOPTEL 001-21 PRETO - CONF1;500;s;#N/D
5570E;REDE HG  - PARKA - CEDROBRIM DRILL 8048  CINZA - CONF1;501;s;#N/D
5572E;MARCOS SALVADOR - PARKA - NYLON PARAQ PRETO - CONF1;501;s;#N/D
5576E;CONTITECH - PARKA - NYLON PARAQ 16 MARINHO - CONF1;501;s;#N/D
5577E;AKERSOLUTIONS -  JAQUETA FEM - POLYCEDROBRIM SUPER 1052 - CONF1;500;s;#N/D
5584E;SETUP - PARKA - NYLON PARAQ 031 CINZA - CONF1;501;s;#N/D
5586E;RANDON - JAQUETA RETARD - UNISAFE SLIM 1018 AZ MARINH - CONF1;500;s;#N/D
5589E;AKERSOLUTIONS -  JAQUETA - POLYCEDROBRIM SUPER 1052 VERMELHO  - CONF1;500;s;#N/D
5598E;LIQUIGAS - PARKA - POLYCEDOBRIM 4167 VERDE BANDEIRA - CONF1;501;s;#N/D
5607E;POSTO O CUPIM - JAQUETA - NYLON CHINES 513 CINZA - CONF1;500;s;#N/D
5620E;POSTO VITORIA - JAQUETA - NYLON PARAQ 12 VERM - CONF1;500;s;#N/D
5623C;EBR -  JAQUETA - UNIVERSAL  1014 AZ RY CONF1 - AA;500;s;#N/D
5626E;MELITTA -  JAQUETA - JET TEL PLUS 26 CAQUI - CONF1;500;s;#N/D
5628E;FITAZUL - JAQUETA - POLYCEDROBRIM SUPER 5228 AZUL - CONF1;500;s;#N/D
5631E;JTI -  JAQUETA - OXFORD STRECH TINTO 900084 PRETO - CONF1;500;s;#N/D
5632E;JTI -  JAQUETA FEM - OXFORD STRECH TINTO 900084 PRETO - CONF1;500;s;#N/D
5639E;PETROBRAS - JAQUETA - UNILESTER SOFT 2050 CINZA - CONF1;500;s;#N/D
5661D;FIBRAPLAC -  JAQUETA GOLA ESP - NYLON PARAQUEDAS 17 PTO - CONF1;500;s;#N/D
5661E;AEM - PARKA - NYLON CAPA IMPERMEAVEL AZ MARINHO - CONF1;501;s;#N/D
5667E;V E P - JAQUETA - UNILESTER 2018 MARINHO - CONF1;500;s;#N/D
5668E;RRC -  PARKA - NYLON CAPA 524 CHUMBO  - CONF1;501;s;#N/D
5669D;COOP DE DISTRIBUICAO - JAQUETA - UNIFORTE FR 1009 CINZA - CONF1;509;s;#N/D
5670E;TURBO DIESEL - JAQUETA - NYLON PARAQ 12 VERMELHO - CONF1;500;s;#N/D
5684E;MASTERTEC - PARKA - NYLON PARAQ 16 MARINHO - CONF1;501;s;#N/D
5685E;AKERSOLUTIONS -  JAQUETA FEM - POLYCEDROBRIM SUPER 1052 VERM  - CONF1;500;s;#N/D
5689E;POSTO GALO - JAQUETA - UNITECH 5264 VERMELHO - CONF1;500;s;#N/D
5697C;VINICOLA AURORA - NYLON PARAQ 22 CINZA CHUMBO - CONF;500;s;#N/D
5712C;ARCO GAS - PARKA - POLYCEDROBRIM SUPER 5098 AZ RY - CONF1;500;s;#N/D
5712E;CGB - PARKA - NYLON PARAQ 16 MARINHO - CONF1;501;s;#N/D
