E00689;RANDON - JALECO ML - UNILEVE 1003 AZUL;E00689;PC;INDUSTRIA - UNIFORMES;JALECO MC/ ML 300;99;INDUSTRIA AA;JALECO;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00689;62013000;0;9;31;31/05/2023
E00690;SUSPENSYS - JALECO ML - UNILEVE 1003 AZUL - AA;E00690;PC;INDUSTRIA - UNIFORMES;JALECO MC/ ML 300;99;INDUSTRIA AA;JALECO;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00690;62013000;0;9;31;19/06/2023
E00700;GRUPO SETUP - CALCA ELAST TOTAL - SARJA 250GR 8260 CINZA;E00700;PC;INDUSTRIA - UNIFORMES;CALCA ELAST TOTAL C CORDAO 107.00;99;INDUSTRIA;CALCA;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00700;62034200;0;9;10;23/05/2023
E00701;GRUPO SETUP - CAMISETE OPER ADM MC - TRICOLINE IBIZA 9115 CINZA;E00701;PC;INDUSTRIA - UNIFORMES;CAMISETE OPER MC/ML 204;99;DIVERSOS;CAMISA/CAMISETE OPER E ADM;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00701;62063000;0;9;21;23/05/2023
E00702;GRUPO SETUP - CAMISA OPER ADM MASC MC - TRICOLINE IBIZ 9115 CZ;E00702;PC;INDUSTRIA - UNIFORMES;CAMISA OPER MC/ML 203;99;SERVICOS / PROMOCIONAIS;CAMISA/CAMISETE OPER E ADM;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00702;62052000;0;9;21;23/05/2023
E00703;GRUPO SETUP - CAMISETE OPER ADM ML - TRICOLINE IBIZA 9115 CINZA;E00703;PC;INDUSTRIA - UNIFORMES;CAMISETE OPER MC/ML 204;99;DIVERSOS;CAMISA/CAMISETE OPER E ADM;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00703;62063000;0;9;21;23/05/2023
E00704;GRUPO SETUP - CAMISA OPER ADM MASC ML - TRICOLINE IBIZ 9115 CZ;E00704;PC;INDUSTRIA - UNIFORMES;CAMISA OPER MC/ML 203;99;SERVICOS / PROMOCIONAIS;CAMISA/CAMISETE OPER E ADM;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00704;62052000;0;9;21;23/05/2023
E00708;GRUPO SETUP - CALCA SOCIAL MASC - OXFORD PRETO - AA;E00708;PC;INDUSTRIA - UNIFORMES;CALCA SOCIAL MASC 103.00;99;SERVICOS / PROMOCIONAIS;CALCA;MODELO CONFIGURADO CLIENTE;46;ITENS POR ESTOQUE;;E00708;62034200;0;9;10;23/05/2023
E00709;GRUPO SETUP - CALCA COS INTEIRO - FLEX RIP STOP 5016 PRETO;E00709;PC;INDUSTRIA - UNIFORMES;CALCA COS INTEIRO 102.00;99;INDUSTRIA;CALCA;MODELO CONFIGURADO CLIENTE;46;ITENS POR ESTOQUE;;E00709;62034200;0;9;10;23/05/2023
E00710;GRUPO SETUP - CAMISA OPER MC - SPAGUETI 001-21 PRETO;E00710;PC;INDUSTRIA - UNIFORMES;CAMISA OPER MC/ML 203;99;DIVERSOS;CAMISA/CAMISETE OPER E ADM;MODELO CONFIGURADO CLIENTE;G;ITENS POR ESTOQUE;;E00710;62063000;0;9;21;23/05/2023
