1044K;C1044K;AGRO PERTENCES - CALCA ELAS TOTAL - MED ESP -SARJA 250GR 8260;ESPEC;107;
1106K;C1106K;VIEMAR - CALCA ELAST TOTAL  - SARJA 202GR 8260 CINZA;G;107;
1389I;C1389I;SETA - CALCA ELAST TOTAL - CEDROLEVE SUPER 8053 VERDE;G;107;
1298F;C1298F;SANEP - CALCA E/TOTAL C CORDAO - SARJA LIDER 250 GM 5280 AZ RY;G;107;
1128J;C1128J;REALIZ - CALCA ELAST TOTAL - SARJA LIDER 250GR 8260 CINZA;G;107;
1646K;C1646K;PREF TEUTONIA - ELAST TOTAL CORD LISA - UNILESTER POLI 2001 BC;G;107;
1168C;C1168C;POSTO DO GALO - CALCA - UNIFORTE 1009;G;107;
1351K;C1351K;PLASZOM - CALCA ELAST TOTAL - MALHA COLEGIAL FIACAO 03 AZ RY;G;107;
1572J;C1572J;MARCOS - CALCA ELAST TOTAL - UNIFORTE 1009 CINZA;G;107;
1584K;C1584K;MARCOPOLO - CALCA ELAST TOTAL - UNIVERSAL 1414 AZ RY;G;107;
1072K;C1072K;L E A INDUSTIRA - CALCA ELAST TOTAL - UNIFORTE 1001 BRANCO;G;107;
1898G;C1898G;KISNER - CALCA ELAST TOTAL - UNITECH 5006 VERDE;G;107;
1397K;C1397K;JAIC AUTO POSTO - CALCA ELAST TOT - SARJA 250GR 5280 AZ RY;G;107;
1403K;C1403K;JAIC - CALCA ELAST TOTAL - UNITECH 5001 BRANCO;G;107;
1598J;C1598J;JA DE MATOS - CALCA ELAST TOTAL - SARJA 250 CINZA 8260 CINZA;G;107;
1589K;C1589K;ECOFAR - CALCA ELAST TOTAL C CORDAO - UNIVERSAL 1414 AZ RY;G;107;
1705J;C1705J;CONTITECH - CALCA ELAST TOTAL CORDAO - NYLON PARAQ 16 MAR;G;107;
1689K;C1689K;CONTINENTAL - CALCA ELAST TOTAL  - CEDROPAC SUPER 5228 AZ MARI;G;107;
1493K;C1493K;CISAMVI - ELAST TOTAL COM CORDAO - UNIVERSAL 1021 CAQUI;G;107;
1669J;C1669J;CENCI - CALCA ELAST TOTAL C CORDAO - CEDROTECH 5228 AZ;G;107;
1469K;C1469K;CAPAL - CALCA ELAST TOTAL - SARJA 250GR 6088 VERDE;G;107;
1920I;C1920I;BRASIL PARALELO - CALCA ELAST TOTAL - CEDROPAC 7158 BEGE;G;107;
00024ZZ;C00024ZZ;AGRALE - CALCA ELAST TOTAL SOLDADOR - SARJA 250GM 8260 CZA;G;107;
00023ZZ;C00023ZZ;AGRALE - CALCA  ELAST TOTAL PRODUCAO - CITBRIM 8080 CZ;G;107;
1494K;C1494K;PLANENG - CALCA ELAST TOTAL RETARD - UNIFORTE FR 1018 MARINHO;46;108;
1196J;C1196J;EC PROJ - CALCA MEIO ELAST RETAR CHAM UNISAFE SLIM 1009 CZ;46;108;
1183I;C1183I;ADAMI - CALCA MEIO ELAST RETARD - UNIFORTE FR 1008 AZ 01;46;108;
1058H;C1058H;VIVIANA ALIMENTOS - CALCA ELAST/T RET - CEDROTECH FR 8048 CZ;G;108;
1777G;C1777G;VIBRA - CALCA ELAST TOTAL  RETARD - UNIFORTE FR 1014 AZ RY;G;108;
1586J;C1586J;TUPY - CALCA MEIO ELAST RETARD CH - CEDROTECH FR 1052 VERMELHO;G;108;
1441H;C1441H;TEXIAN - CALCA ELAST TOTAL RETARD - CEDROTECH 5228 MARINHO;G;108;
1608H;C1608H;TEVERE - CALCA ELAST TOTAL RETARD CHAMAS - CEDROTECH FR 5228;G;108;
1500I;C1500I;SANEP - CALCA MEIO ELAST - CEDROTECH C REFLE VERD - 8047 CINZA;G;108;
1515K;C1515K;PARATI - CALCA ELAST TOTAL - RETARD CHAMAS - CEDROTECH 5098 AZ;G;108;
1746G;C1746G;MUELLER - CALCA MEIO ELAST RETARD - CEDROTECH 8047 CINZA;G;108;
1728K;C1728K;METASA - CALCA MEIO ELAST RETARD CH - CEDROTECH FR 5228 MARI;G;108;
1505K;C1505K;IRMAOS - CALCA RETARD MEIO ELAST - CEDROTECH FR 5098 AZ RY;G;108;
1997J;C1997J;IRMAOS - CALCA RETARD MEIO ELAST - CEDROTCH FR 8047 CINZA;G;108;
1706F;C1706F;FRUKI - CALCA MEIO ELAST RETARD - CEDROTECH FR 5098 AZ RY;G;108;
1548K;C1548K;CROSS - CALCA MEIO ELAST RETARD - CEDROTECH 8047 CINZA;G;108;
00637ZZ;C00637ZZ;CALCA RETART CHAMAS CENCI FITA CEDROTECH FR 5098 AZUL CA 3106;G;108;
1648J;C1648J;BUSCHLE - CALCA MEIO ELAST RETAR CHAM CEDROTECH FR 8047 CZ;G;108;
1555H;C1555H;BRAMETAL - CALCA MEIO ELAST RETAR CHAM - CEDROTECH FR 8047 CZA;G;108;
1668I;C1668I;ALTHERIA  - CALCA MEIO ELAST RETARD CEDROTECH 8047 CZ;G;108;
1501I;C1501I;ALL4LABELS  - CALCA MEIO ELAST RETAR - UNISAFE SLIM 1018 MARIN;G;108;
1925G;C1925G;ALACAST - CALCA ELAST TOTAL RETARD - CEDROTECH 5098  AZ RY;G;108;
1079J;C1079J;WHIRPOOL - CALCA MEIO ELAST - MED ESP UNISAFE SLIM 1014 AZ RY;46;109;
1109H;C1109H;TORRECID - CALCA RETARD CH  ELAST T -  CEDROTECH 5228 AZ MR;46;109;
1597E;C1597E;TECNOVIN - CALCA ELAST TOTAL RETARD - CEDROTECH 5098 AZ RY;46;109;
1098K;C1098K;TECNOVIN - CALCA ELAST TOTAL - CEDROTECH FR 5098 AZ RY;46;109;
1928J;C1928J;PORTOBELLO - CALCA MEIO ELAST CEDROTECH FR 5228 MARIN;46;109;
1558F;C1558F;MINUANO ALIM - CALCA RETARD MEIO ELAST - CEDROTECH 8047 CINZA;46;109;
1307E;C1307E;MEGA WATTS - CALCA MEIO ELAST RETARD CHAMAS - CEDROTECH 5228 AZ;46;109;
1717J;C1717J;AKER SOLUTIONS  - CALCA  RETARD - CEDROTECH FR 1052 VERM;46;109;
1143K;C1143K;COAMO - CALCA RETARD ELAST - MED ESP - CEDROTECH FR 5098 AZ RY;ESPEC;109;
1161K;C1161K;WEG - CALCA ELAST TOTAL - CEDROTECH FR 8047 CZ;G;109;
1859J;C1859J;UNIMED- CALCA RETARD CHAMAS MEIO ELAST - UNIFORTE  FR 1009 CZ;G;109;
1763J;C1763J;TIROL - CALCA MEIO ELAST RESTARD - CEDROTECH 8047 CINZA;G;109;
1207K;C1207K;SUPREMO - CALCA  MEIO ELAST RETARD - CEDROTECH FR 4620-VERDE;G;109;
